Included in rates,Distance from,Number of bathrooms,For your comfort and convenience,Not included in rates,Number of bedrooms,Address,Name,"Entertainment, well-being & sports",Dining,Sustainable development and environmental impact,Resort services and entertainment,Staff,Nearby,Description,Kitchen & Appliances,Max guests,Reservation conditions,Compulsory extra costs,"Equipment, facilities, events",Children,Max price,Outside,Min price
"
- Bed linen and towels change
- Beds made on arrival
- Housecleaning upon departure
- Household linen and bath linen
- Housekeeping
- Housekeeping and household linens
- Meet and greet at the house
- Mid-week towel change","
- Downtown (6 KM)
- Ski school (1.9 KM)",5,"
- Dining area
- Dining room
- Fireplace
- Living room
- Netflix
- Outdoor hot tub
- Private parking space
- Ski locker","
- Cancellation insurance
- Concierge service : Pass Plus : starting from 300.00 EUR
- Concierge service : Serenity Pass : starting from 600.00 EUR
- Concierge service : Snow Pass : starting from 90.00 EUR",5,"Saint-Gervais-les-Bains, Northern Alps, France, Europe",Chalet Le White Fox,"
- Apple TV
- Blu-Ray DVD player
- Books
- Cards and board games
- Cinema room
- Hammam
- Internet access (wifi)
- Shoe warmer
- TV","
- This house is self catering",,,"
- Chalet Manager",,"Magnificent 5 bedroom chalet located a few metres from the centre of Saint-Gervais-les-Bains, with outdoor jacuzzi, hammam and home cinema.","
- Cooker hood
- Dish washer
- Dryer
- Fondue set
- Fully equipped kitchen
- Induction stove
- Iron
- Ironing board
- Kettle
- Microwave
- Nespresso coffee machine
- Open-style kitchen
- Oven
- Raclette
- Refrigerator
- Toaster
- Vacuum cleaner
- Washing machine",10,,,,"
- Board games for kids",1515,"
- Balcony",1515
"
- Assistance with ski hire
- Assistance with ski schools bookings
- Bed and household linens
- Beer and wine
- Bottle of champagne upon arrival
- Breakfast
- Chef / Cook
- Dinner
- Electricity, water, gas
- Soft drinks
- Tea &amp; pastries",,4,"
- Dining room
- Dining room with dining table
- Fireplace in living room
- Living room
- Lounge chair(s)
- Sofa(s)
- Terraces
- TV lounge","
- Cancellation insurance
- Chauffeured service for the village and the ski slopes during the day
- In-house beauty treatments
- Lunch
- Rental of ski equipment
- Ski instructor
- Wines and spirits delivery",4,"Méribel Village, Méribel, Northern Alps, France, Europe",Chalet Pelouses Alpines,"
- DVD library
- DVD player
- Internet access (wifi)
- Playroom-Gameroom
- Ski room
- TV","
- Catered property",,,"
- Chef
- Fully staffed chalet
- Maid","
- Ski slope at walking distance
- Slopes less than 100 m away","Beautiful chalet in Meribel Village, traditional but modern, close to the slopes, 4 ensuite bedrooms, fireplace, steam room, balconies, terraces with stunning panoramic views","
- Fully equipped kitchen",8 (9 max.),,,,,4081,"
- Balcony
- Terrace(s)",
"
- Beds made on arrival
- Household linen and bath linen
- Housekeeping and household linens
- Meet and greet at local office
- Toiletries","
- Downtown (300 M)
- Ski school (900 M)
- Snow Front (900 M)
- Skilift : Snow front (900 M)",2,"
- Dining area
- Living room
- Ski locker","
- Cancellation insurance
- Concierge service : Pass Plus : starting from 300.00 EUR
- Concierge service : Serenity Pass : starting from 600.00 EUR
- Concierge service : Snow Pass : starting from 90.00 EUR",3,"Méribel Centre, Méribel, Northern Alps, France, Europe",Appartement Cachemire D3,"
- Internet access (wifi)
- TV","
- This house is self catering",,,,,"Beautiful 3 bedroom apartment, located close to a shuttle stop, with ski locker and mountain views.","
- Blender, mixeur
- Coffee maker
- Cooker hood
- Dish washer
- Fondue set
- Kettle
- Microwave
- Nespresso coffee machine
- Open-style kitchen
- Oven
- Pierrade
- Raclette
- Refrigerator
- Toaster
- Vacuum cleaner
- Vitro-ceramic burners",6,,,,,245,"
- Balcony",
"
- Bed and household linens
- Electricity, water, gas
- Garden maintenance
- Housekeeper
- In-house chef
- Internet WIFI
- Pool maintenance
- Security service
- Service charge",,6,"
- Air conditioning
- Air fan
- Cinema room
- Coffee table
- Dining room
- Living room
- Outdoor hot tub
- Sofa(s)
- Terraces","
- 50% discount on children (-12 y. old) meals
- Cancellation insurance
- Child care, Baby sitting
- Full board : starting from 47.00 EUR Per Guest/day
- Massage",7,"Dikwella, Tangalle, Sri Lanka, Asia",Villa Medara,"
- Children playground
- Cinema room
- Internet access (wifi)
- Outdoor private swimming pool
- Plunge pool
- Projector screen
- TV
- Yoga pavilion",,,,"
- Cook
- Fully staffed villa","
- Direct access to the beach
- Direct sea access","Luxurious villa in the Dikwella area, with 7 bedrooms and 6 bathrooms, a garden, a large swimming pool and water slide, direct access to the beach, sea view","
- Fully equipped kitchen
- Kitchenette",14,,,,"
- Baby cot
- Children welcome
- Children’s area",2833,"
- Balcony
- Barbecue
- Garden
- Lounge area on the terrace
- Lounge chairs on the terrace
- Outdoor dining areas
- Outdoor dining table
- Terrace(s)",2009
"
- Beds made on arrival
- Champagne
- Housecleaning upon departure
- Household linen and bath linen
- Housekeeping and household linens
- Meet and greet at the house
- Toiletries
- Welcome hamper
- Wood for the fireplace","
- Downtown (300 M)
- Ski school (300 M)
- Ski slope (200 M)
- Ski lift (200 M)",7,"
- Dining area
- Fireplace
- Living room
- Private parking space
- Reading room
- Temp. controlled wine storage
- Terrace","
- Cancellation insurance
- Concierge service : Pass Plus : starting from 300.00 EUR
- Concierge service : Serenity Pass : starting from 600.00 EUR
- Concierge service : Snow Pass : starting from 90.00 EUR",6,"Courchevel La Tania, Courchevel, Northern Alps, France, Europe",Chalet Manora,"
- Billiard / Pool table
- Cards and board games
- Internet access (wifi)
- Playroom-Gameroom
- Sauna
- Shoe warmer
- TV","
- This house is self catering",,,,"
- Close to ski schools
- Slopes less than 200 m away","Chalet nestled in the heart of a pine forest in Courchevel La Tania district, with 6 bedrooms, sauna, parking space and panoramic view.","
- Combined microwave and regular ovens
- Dish washer
- Dryer
- Electric plates
- Fondue set
- Freezer
- Fully equipped kitchen
- Iron
- Kettle
- Microwave
- Nespresso coffee machine
- Open-style kitchen
- Oven
- Raclette
- Refrigerator
- Toaster
- Washing machine",12,,,,"
- Baby cot",1130,,
"
- Beds made on arrival
- Daily house cleaning
- Housecleaning upon departure
- Household linen and bath linen
- Housekeeping and household linens
- Intermediate cleaning in the middle of the stay
- Meet and greet at the house
- Slippers
- Toiletries","
- Downtown (1.2 KM)
- Ski school (1.2 KM)
- Skilift : Mont d'Arbois (1.2 KM)",6,"
- Access to garden
- Dining area
- Dining room
- Fireplace
- Living room
- Private parking space
- Relaxation area
- Terrace","
- Cancellation insurance
- Concierge service : Pass Plus : starting from 300.00 EUR
- Concierge service : Serenity Pass : starting from 600.00 EUR
- Concierge service : Snow Pass : starting from 90.00 EUR",6,"Megève, Northern Alps, France, Europe",Chalet R Family,"
- Cinema room
- Fitness machine
- Garden lounge furniture
- Outdoor swimming pool
- Playroom-Gameroom
- Sauna
- Table football
- TV","
- This house is self catering","
- Electric car charging station",,,,"Superb 6 bedroom chalet, located in a quiet and intimate area of the resort of Megeve, Mont d'Arbois with sauna, cinema room, outdoor pool, terrace, garden access and garage.","
- Blender, mixeur
- Coffee maker
- Cooker hood
- Dish washer
- Electric plates
- Freezer
- Fully equipped kitchen
- Ironing board
- Microwave
- Open-style kitchen
- Oven
- Refrigerator
- Toaster
- Vacuum cleaner
- Washing machine",14,,,,,2678,,1436
"
- Bed and household linens
- Electricity, water, gas
- Garden maintenance
- Mid-week houskeeping
- Pool maintenance","
- Airport (20 Minutes by car)
- Beach (7 Minutes by car)
- Downtown (7 Minutes by car)
- Golf (4 Minutes by car)",3,"
- Coffee table
- Covered terrace - Veranda
- Dining &amp; living room is the same area
- Dining room with dining table
- Fireplace in living room
- Living room
- Sofa(s)","
- Cancellation insurance
- In-house chef
- Pre-stocking of the house
- Tourism development tax",3,"Fornells, Menorca, Spain, Europe",Casa Arenal,"
- Flatscreen TV
- Internet access (wifi)
- Outdoor private swimming pool",,,,,"
- Beach in ten","Nice house located in a quiet place, private swimming pool, short drive to beaches and the lovely village of Fornells, 3 bedrooms, 2 bathrooms","
- Cooker hood
- Dish washer
- Freezer
- Fully equipped kitchen
- Gas burners
- Oven
- Refrigerator",6,,"
- Housecleaning upon departure (except kitchen) : 450.00 EUR Per Stay",,,850,"
- Garden
- Outdoor dining table
- Pool lounge chairs",730
"
- Baby cot
- Bed and household linens
- Electricity, water, gas
- Garden/Pool maintenance
- High chair
- Internet WIFI
- Pool and/or beach towels
- Selection of bath products","
- Beach (4.5 KM)
- Downtown (4 KM / 5 Minutes by car)
- Catania Airport (115 KM)",2,"
- Air conditioning in the living room
- Dining &amp; living room is the same area
- Private parking space
- Reverse cycle air conditioner
- TV lounge","
- Airport transfer
- Breakfast
- Cancellation insurance
- Car with driver
- Chef / Cook
- Child care, Baby sitting
- Daily house cleaning
- Grocery delivery
- Intermediate cleaning in the middle of the stay",3,"Sicily South, Sicily, Italy, Europe",Villa Orcéline,"
- Books
- Cards and board games
- Infinity pool
- Internet access (wifi)
- Music speaker
- Outdoor swimming pool
- Pool with chlorine filtration
- Satellite or cable or Internet TV
- TV",,,,,,"Pretty 3-bedroom villa located near Pozzallo, in the south of Sicily. Sea views, garden, terraces and swimming pool.","
- Coffee machine (beans)
- Coffee machine (pod)
- Fully equipped kitchen
- Induction stove",6,,"
- House cleaning upon departure : 150.00 EUR Per Stay","
- Safe deposit box
- Security system
- Smoke detector
- Suitable for wedding and events","
- Baby cot
- Board games for kids
- Books for kids
- Children welcome
- Children’s area
- Extra bed for child available on request
- Highchair
- Pool alarm
- Pool safety system",750,"
- Great private park and garden
- Lounge area on the terrace
- Lounge chairs on the terrace
- Natural Gas barbecue
- Outdoor dining areas
- Parking
- Plancha
- Pool lounge chairs
- Terrace(s)",375
"
- Chef/Cook
- Concierge service
- Domestic staff
- Driver (8 hours)
- Electricity, water, gas
- Garden/Pool maintenance
- Housekeeping
- Security service
- Villa Manager",,1,"
- Air conditioning
- Air fan
- Hair dryers
- Phone
- Temp. controlled wine storage","
- Baby sitting
- Bike(s)
- Cancellation insurance
- Extra bed
- Fenced Swimming pool
- Laundry service
- Masseuse
- Personal shopping service
- Scooters",5,"South West - Seseh, Bali, Indonesia, Asia",Villa Seseh Beach I,"
- Computer
- DVD library
- DVD player
- Internet access (wifi)
- iPod dock
- Playstation
- Power generator
- Printer
- Private pool
- TV
- Wii
- Xbox",,,,,,"Magnificent villa located in Seseh Village, 5 bedrooms with bathrooms, private swimming pool, nice garden, fully staffed, located only 100 meters from the beach, amazing ocean view","
- Coffee maker
- Iron
- Microwave
- Oven",10,,,"
- Bikes
- Car
- Moto/Scooter
- Safe deposit box
- Security system
- Smoke detector","
- Baby cot
- Highchair
- Pool safety system",2641,"
- Barbecue
- Natural Gas barbecue
- Parking
- Wheelchair friendly villa",1496
"
- Beds made on arrival
- Housecleaning upon departure
- Household linen and bath linen
- Housekeeping and household linens
- Meet and greet at local office
- Toiletries","
- Downtown (100 M)
- Ski school (200 M)
- Skilift : Ariondaz (150 M)",2,"
- Dining area
- Living room
- Private parking space
- Ski locker
- Terrace","
- Cancellation insurance
- Concierge service : Pass Plus : starting from 300.00 EUR
- Concierge service : Serenity Pass : starting from 600.00 EUR
- Concierge service : Snow Pass : starting from 90.00 EUR",3,"Courchevel 1650, Courchevel, Northern Alps, France, Europe",Appartement Chantemerle 102,"
- Internet access (wifi)
- Shoe warmer
- SONOS sound system
- TV","
- This house is self catering",,,,"
- Slopes less than 200 m away","3 bedrooms apartment located in Courchevel 1650 Moriond (1650) on the 1st floor of the residence Chantemerle, only 100 meters away from the snow front.","
- Blender, mixeur
- Coffee maker
- Combo washer-dryer
- Cooker hood
- Dish washer
- Dryer
- Freezer
- Fully equipped kitchen
- Induction stove
- Iron
- Ironing board
- Kettle
- Microwave
- Nespresso coffee machine
- Open-style kitchen
- Oven
- Raclette
- Refrigerator
- Toaster
- Vacuum cleaner
- Washing machine",6,,,"
- Safe deposit box",,427,"
- Plancha",
"
- Bed and household linens
- Change of towels twice weekly
- Concierge service
- Daily housekeeping (except Sundays and holidays)
- Electricity, water, gas
- Garden maintenance
- Housecleaning upon departure
- Internet WIFI
- Pool maintenance
- Toiletries
- Weekly change of linens &amp; towels (2 weeks stay min.)
- Welcome hamper","
- Montepulciano (64 KM / 60 Minutes by car)
- Rome (211 KM / 150 Minutes by car)
- Cortona (48 KM / 45 Minutes by car)
- Gubbio (35 KM / 35 Minutes by car)",3,"
- Air conditioning
- Central heating
- Dining room with dining table
- Hair dryer
- Living room
- Lounge chair(s)
- Sofa(s)
- Terraces","
- Bike rental
- Breakfast service : starting from 50.00 EUR Per Day
- Butler : starting from 120.00 EUR Per Meal
- Cancellation insurance
- Central heating
- Cot + High Chair
- Delivery of meals : starting from 20.00 EUR Per Delivery
- Exclusive service of a chef to cook 1 dinner or 1 lunch at the villa (8 people) : starting from 200.00 EUR Per Meal
- Extra change of bath towels : starting from 8.00 EUR Per Person
- Extra change of bed linen : starting from 5.00 EUR Per Room
- Extra change of pool towels : starting from 3.00 EUR Per Person
- Extra hours of housekeeping : starting from 25.00 EUR Per Hour
- Extra house cleaning time
- In-house massage service
- Ironing : starting from 25.00 EUR Per Hour
- Late check-in
- Pool heating : starting from 80.00 EUR Per Day
- Pre-stocking of the house
- Service of a chef to cook dinner and lunch (8 people) : starting from 350.00 EUR Per Day
- Shopping service with a car : starting from 50.00 EUR Per Hour
- Table tennis table rental : starting from 100.00 EUR Per Week
- Tourism development tax
- Wood for the fireplace : starting from 15.00 EUR",3,"Umbertide, Umbria, Italy, Europe",Villa Santa Croce,"
- DVD player
- Flatscreen TV
- Internet access (wifi)
- iPod dock
- Outdoor private swimming pool
- Satellite or cable or Internet TV",,,,,"
- Villa on a golf course","Luxury 3 bedroom villa with outstanding views of Umbria, 3 bathrooms, heated infinity pool","
- Dish washer
- Fully equipped kitchen
- Iron
- Microwave
- Oven
- Refrigerator
- Washing machine",6,,,,"
- Children welcome",2028,"
- Barbecue
- Garden
- Outdoor dining areas
- Outdoor dining table
- Pool lounge chairs
- Terrace(s)",
"
- Bed and household linens
- Change of linen every 4 days
- Daily house cleaning
- Electricity, water, gas
- Garden maintenance
- House cleaning upon departure
- Internet WIFI
- Pool heating
- Pool maintenance
- Selection of bath products
- Villa Manager
- Welcome hamper","
- Airport (17.2 KM)
- Beach (400 M)
- Saint Tropez (15.3 KM)",11,"
- Dining room
- Living room
- Outdoor hot tub
- Private parking space
- Reverse cycle air conditioner","
- Breakfast : starting from 25.00 EUR Per Guest/day
- Cancellation insurance
- Extra house cleaning time : starting from 30.00 EUR Per Hour
- Laundry care (washing - ironing) : starting from 50.00 EUR Per Hour
- Laundry service
- Private boat : starting from 3 100.00 EUR Per Day
- Villa pre-stocking",11,"La Croix-Valmer, French Riviera, France, Europe",Villa Louise,"
- Bar
- Fitness room
- Heated outdoor swimming pool
- Internet access (wifi)
- Massage room
- TV",,,,"
- Fully staffed villa
- Gardener
- Maid",,"Superb 11 bedroom villa, located in the heart of a magnificent estate in La Croix-Valmer. Massage room, gym, lift, large and beautiful exteriors, sea view, hélisurface, pool house, jacuzzi and heated outdoor pool.","
- Fully equipped kitchen",22,,"
- Tourism development tax : 3.30 EUR Per Guest/day","
- Elevator
- Helicopter runway
- Motorboat
- Safe deposit boxes
- Wine cellar","
- Children welcome
- Pool alarm
- Pool safety system",9857,"
- Barbecue
- Great private park and garden
- Lounge area on the terrace
- Parking
- Pool house
- Pool lounge chairs
- Summer kitchen
- Terrace(s)",13571
"
- Bed and household linens
- Continental breakfast
- Daily house cleaning
- Electricity, water, gas
- Garden maintenance
- Internet WIFI
- Pool maintenance","
- Airport (20 Minutes by car)
- Beach (3 KM)
- Downtown (4 KM)
- Ibiza (10 KM)
- Supermarket (4 KM)
- Restaurants / Shops (8 Minutes by car)",6,"
- Air conditioning (some rooms)
- Coffee table
- Dining room with dining table
- Living room
- Reading room
- Sofa(s)
- Study room or den
- Terraces","
- Baby cot : starting from 10.00 EUR Per Day
- Cancellation insurance
- Chef / Cook
- Extra bed : starting from 20.00 EUR Per Guest/day
- High chair : starting from 5.00 EUR Per Day
- Late check-in : starting from 100.00 EUR Per Rental
- Late check-in from 8pm : starting from 100.00 EUR Per Stay
- Tourism development tax",6,"Ibiza South, Ibiza, Spain, Europe",Zen Golf,"
- DVD player
- Fitness room
- Flatscreen TV
- Internet access (wifi)
- iPod dock
- Outdoor private swimming pool
- Satellite or cable or Internet TV
- TV (all bedrooms)
- Villa has 2 swimming pools",,,"
- Golf (27 holes)
- Spa",,"
- Beach in ten","Luxury villa in Roca Llisa in Ibiza, 6 double bedrooms and 6 bathrooms, 2 pools, 2 kitchens, mountain views, near golf course.","
- Coffee maker
- Dish washer
- Fully equipped kitchen
- Grill
- Juicer
- Kettle
- Microwave
- Nespresso coffee machine
- Oven
- Property has 2 kitchens
- Refrigerator
- Toaster
- Vitro-ceramic burners
- Washing machine",12,,,"
- Safe deposit box","
- Children welcome",3150,"
- Barbecue
- Garden
- Lounge area on the terrace
- Lounge chairs on the terrace
- Outdoor dining areas
- Outdoor dining table
- Outside shower
- Parking
- Pool lounge chairs
- Terrace(s)",2214
